Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
29/12/2020,6L G21,0.0,0.0,1.0,0.19205,0.1926,-1.0,0.0,-54.999999999999496,0.13,1.62,-56.749999999999496
30/12/2020,6L G21,0.0,0.0,0.0,0.0,0.19315,-1.0,-54.999999999999496,0.0,0.0,0.0,-54.999999999999496
31/12/2020,6L G21,0.0,0.0,0.0,0.0,0.19225,-1.0,89.99999999999841,0.0,0.0,0.0,89.99999999999841
04/01/2021,6L G21,0.0,0.0,1.0,0.1899,0.1905,-2.0,175.00000000000014,-59.99999999999894,0.13,1.62,113.2500000000012
05/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1899,-2.0,119.99999999999788,0.0,0.0,0.0,119.99999999999788
06/01/2021,6L G21,0.0,0.0,0.0,0.0,0.19015,-2.0,-50.00000000000004,0.0,0.0,0.0,-50.00000000000004
07/01/2021,6L G21,0.0,0.0,0.0,0.0,0.18535,-2.0,960.0000000000053,0.0,0.0,0.0,960.0000000000053
08/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1842,-2.0,229.99999999999687,0.0,0.0,0.0,229.99999999999687
11/01/2021,6L G21,0.0,0.0,0.0,0.0,0.18255,-2.0,330.0000000000025,0.0,0.0,0.0,330.0000000000025
12/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1867,-2.0,-830.000000000003,0.0,0.0,0.0,-830.000000000003
13/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1887,-2.0,-400.00000000000034,0.0,0.0,0.0,-400.00000000000034
14/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1923,-2.0,-719.9999999999984,0.0,0.0,0.0,-719.9999999999984
15/01/2021,6L G21,0.0,0.0,2.0,0.189175,0.1892,-4.0,619.9999999999983,-4.999999999999449,0.26,3.24,611.4999999999989
18/01/2021,6L G21,0.0,0.0,0.0,0.0,0.1892,-4.0,0.0,0.0,0.0,0.0,0.0
19/01/2021,6L G21,0.0,0.0,1.0,0.1865,0.18685,-5.0,940.0000000000075,-34.99999999999892,0.13,1.62,903.2500000000086
20/01/2021,6L G21,0.0,0.0,1.0,0.1883,0.18765,-6.0,-400.0000000000115,64.9999999999984,0.13,1.62,-336.7500000000131
21/01/2021,6L G21,0.0,0.0,0.0,0.0,0.18655,-6.0,660.0000000000106,0.0,0.0,0.0,660.0000000000106
22/01/2021,6L G21,3.0,0.1848,2.0,0.183925,0.18285,-5.0,2219.9999999999886,-369.99999999999534,0.65,8.100000000000001,1841.2499999999932
25/01/2021,6L G21,0.0,0.0,0.0,0.0,0.18155,-5.0,650.0000000000117,0.0,0.0,0.0,650.0000000000117
26/01/2021,6L G21,0.0,0.0,0.0,0.0,0.18705,-5.0,-2750.0000000000023,0.0,0.0,0.0,-2750.0000000000023
27/01/2021,6L G21,9.0,0.184095,4.0,0.18465,0.18505,0.0,1000.0000000000009,699.4999999999918,1.69,21.060000000000002,1676.7499999999927
