Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
28/01/2021,6L H21,1.0,0.184095,9.0,0.18404444399999997,0.18395,-8.0,0.0,70.49959999997357,1.3,16.200000000000003,52.99959999997357
29/01/2021,6L H21,4.0,0.18375,1.0,0.1827,0.1826,-5.0,1079.999999999992,-449.9999999999948,0.65,8.100000000000001,621.2499999999973
01/02/2021,6L H21,1.0,0.18355,0.0,0.0,0.18305,-4.0,-224.9999999999891,-50.00000000000004,0.13,1.62,-276.74999999998914
02/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1865,-4.0,-1380.0000000000034,0.0,0.0,0.0,-1380.0000000000034
03/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18585,-4.0,260.00000000000466,0.0,0.0,0.0,260.00000000000466
04/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18355,-4.0,919.9999999999986,0.0,0.0,0.0,919.9999999999986
05/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18600000000000005,-4.0,-980.0000000000252,0.0,0.0,0.0,-980.0000000000252
08/02/2021,6L H21,1.0,0.1848,0.0,0.0,0.1858,-3.0,80.0000000000245,100.00000000000009,0.13,1.62,178.25000000002458
09/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1859,-3.0,-30.000000000005024,0.0,0.0,0.0,-30.000000000005024
10/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1856,-3.0,90.00000000000674,0.0,0.0,0.0,90.00000000000674
11/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1854,-3.0,59.99999999999339,0.0,0.0,0.0,59.99999999999339
12/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18595,-3.0,-164.9999999999985,0.0,0.0,0.0,-164.9999999999985
15/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18595,-3.0,0.0,0.0,0.0,0.0,0.0
16/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1835,-3.0,735.0000000000023,0.0,0.0,0.0,735.0000000000023
17/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1846,-3.0,-329.999999999997,0.0,0.0,0.0,-329.999999999997
18/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18395,-3.0,194.99999999999517,0.0,0.0,0.0,194.99999999999517
19/02/2021,6L H21,0.0,0.0,0.0,0.0,0.18475,-3.0,-239.99999999999855,0.0,0.0,0.0,-239.99999999999855
22/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1837,-3.0,314.99999999999864,0.0,0.0,0.0,314.99999999999864
23/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1837,-3.0,0.0,0.0,0.0,0.0,0.0
24/02/2021,6L H21,0.0,0.0,0.0,0.0,0.1843,-3.0,-179.99999999999682,0.0,0.0,0.0,-179.99999999999682
25/02/2021,6L H21,3.0,0.1836,0.0,0.0,0.1812,0.0,929.9999999999975,-720.000000000004,0.39,4.86,204.74999999999352
