Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
29/07/2020,6L U20,0.0,0.0,3.0,0.1948,0.19305,-3.0,0.0,525.0000000000005,0.39,4.86,519.7500000000005
30/07/2020,6L U20,0.0,0.0,0.0,0.0,0.19375,-3.0,-210.00000000000185,0.0,0.0,0.0,-210.00000000000185
31/07/2020,6L U20,0.0,0.0,0.0,0.0,0.19085,-3.0,870.0000000000041,0.0,0.0,0.0,870.0000000000041
03/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18765,-3.0,959.9999999999942,0.0,0.0,0.0,959.9999999999942
04/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18885,-3.0,-359.99999999999363,0.0,0.0,0.0,-359.99999999999363
05/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18855,-3.0,89.99999999999841,0.0,0.0,0.0,89.99999999999841
06/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18735,-3.0,360.000000000002,0.0,0.0,0.0,360.000000000002
07/08/2020,6L U20,0.0,0.0,0.0,0.0,0.184,-3.0,1004.9999999999976,0.0,0.0,0.0,1004.9999999999976
10/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18225,-3.0,525.0000000000005,0.0,0.0,0.0,525.0000000000005
11/08/2020,6L U20,0.0,0.0,0.0,0.0,0.1854,-3.0,-945.0000000000042,0.0,0.0,0.0,-945.0000000000042
12/08/2020,6L U20,0.0,0.0,0.0,0.0,0.184,-3.0,420.0000000000037,0.0,0.0,0.0,420.0000000000037
13/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18605,-3.0,-614.9999999999989,0.0,0.0,0.0,-614.9999999999989
14/08/2020,6L U20,0.0,0.0,1.0,0.1853,0.1841,-4.0,584.9999999999939,119.99999999999788,0.13,1.62,703.2499999999917
17/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18125,-4.0,1140.0000000000077,0.0,0.0,0.0,1140.0000000000077
18/08/2020,6L U20,0.0,0.0,0.0,0.0,0.18275,-4.0,-600.0000000000006,0.0,0.0,0.0,-600.0000000000006
19/08/2020,6L U20,0.0,0.0,0.0,0.0,0.1798,-4.0,1180.0000000000032,0.0,0.0,0.0,1180.0000000000032
20/08/2020,6L U20,0.0,0.0,0.0,0.0,0.17975,-4.0,19.999999999997797,0.0,0.0,0.0,19.999999999997797
21/08/2020,6L U20,0.0,0.0,0.0,0.0,0.1777,-4.0,819.9999999999985,0.0,0.0,0.0,819.9999999999985
24/08/2020,6L U20,1.0,0.17845,0.0,0.0,0.1781,-3.0,-160.00000000000458,-34.99999999999892,0.13,1.62,-196.7500000000035
25/08/2020,6L U20,0.0,0.0,1.0,0.1789,0.18135,-4.0,-975.0000000000009,-245.00000000000077,0.13,1.62,-1221.7500000000016
26/08/2020,6L U20,0.0,0.0,0.0,0.0,0.1782,-4.0,1260.0000000000055,0.0,0.0,0.0,1260.0000000000055
27/08/2020,6L U20,0.0,0.0,0.0,0.0,0.1795,-4.0,-519.9999999999983,0.0,0.0,0.0,-519.9999999999983
28/08/2020,6L U20,4.0,0.18420999999999998,0.0,0.0,0.1855,0.0,-2400.0000000000023,516.0000000000053,0.52,6.48,-1890.9999999999968
