Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
31/08/2020,6L V20,0.0,0.0,4.0,0.18377000000000002,0.18185,-4.0,0.0,768.000000000002,0.52,6.48,761.000000000002
01/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18515,-4.0,-1319.9999999999989,0.0,0.0,0.0,-1319.9999999999989
02/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18695,-4.0,-719.9999999999984,0.0,0.0,0.0,-719.9999999999984
03/09/2020,6L V20,0.0,0.0,1.0,0.1887,0.18875,-5.0,-719.9999999999984,-4.999999999999449,0.13,1.62,-726.7499999999978
04/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18835,-5.0,200.00000000000574,0.0,0.0,0.0,200.00000000000574
08/09/2020,6L V20,3.0,0.1855,4.0,0.18665,0.18645,-6.0,949.9999999999925,365.0000000000042,0.91,11.34,1302.7499999999968
09/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1883,-6.0,-1109.9999999999943,0.0,0.0,0.0,-1109.9999999999943
10/09/2020,6L V20,4.0,0.1886,0.0,0.0,0.18785,-2.0,270.0000000000036,-300.0000000000003,0.52,6.48,-36.9999999999967
11/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1879,-2.0,-10.00000000000445,0.0,0.0,0.0,-10.00000000000445
14/09/2020,6L V20,2.0,0.1885,2.0,0.18845,0.18955,-2.0,-329.999999999997,-9.999999999998899,0.52,6.48,-346.9999999999959
15/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18945,-2.0,19.999999999997797,0.0,0.0,0.0,19.999999999997797
16/09/2020,6L V20,0.0,0.0,0.0,0.0,0.19095,-2.0,-300.0000000000003,0.0,0.0,0.0,-300.0000000000003
17/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1908,-2.0,30.000000000002245,0.0,0.0,0.0,30.000000000002245
18/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1866,-2.0,840.0000000000018,0.0,0.0,0.0,840.0000000000018
21/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1847,-2.0,379.999999999997,0.0,0.0,0.0,379.999999999997
22/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18265,-2.0,409.99999999999926,0.0,0.0,0.0,409.99999999999926
23/09/2020,6L V20,0.0,0.0,0.0,0.0,0.17865,-2.0,800.0000000000007,0.0,0.0,0.0,800.0000000000007
24/09/2020,6L V20,0.0,0.0,0.0,0.0,0.18125,-2.0,-519.9999999999983,0.0,0.0,0.0,-519.9999999999983
25/09/2020,6L V20,0.0,0.0,0.0,0.0,0.1801,-2.0,229.99999999999687,0.0,0.0,0.0,229.99999999999687
28/09/2020,6L V20,0.0,0.0,0.0,0.0,0.17725,-2.0,570.0000000000039,0.0,0.0,0.0,570.0000000000039
29/09/2020,6L V20,2.0,0.1772,0.0,0.0,0.17735,0.0,-20.000000000003347,30.000000000002245,0.26,3.24,6.499999999998899
