Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
30/09/2020,6L X20,0.0,0.0,2.0,0.1765,0.1778,-2.0,0.0,-260.00000000000466,0.26,3.24,-263.50000000000466
01/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1765,-2.0,260.00000000000466,0.0,0.0,0.0,260.00000000000466
02/10/2020,6L X20,0.0,0.0,0.0,0.0,0.17665,-2.0,-30.000000000002245,0.0,0.0,0.0,-30.000000000002245
05/10/2020,6L X20,1.0,0.1779,0.0,0.0,0.1796,-1.0,-590.0000000000016,170.0000000000007,0.13,1.62,-421.7500000000009
06/10/2020,6L X20,0.0,0.0,0.0,0.0,0.17825,-1.0,135.0000000000018,0.0,0.0,0.0,135.0000000000018
07/10/2020,6L X20,0.0,0.0,0.0,0.0,0.17785,-1.0,39.99999999999837,0.0,0.0,0.0,39.99999999999837
08/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1784,-1.0,-54.999999999999496,0.0,0.0,0.0,-54.999999999999496
09/10/2020,6L X20,0.0,0.0,0.0,0.0,0.18065,-1.0,-225.0000000000002,0.0,0.0,0.0,-225.0000000000002
12/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1808,-1.0,-14.999999999998348,0.0,0.0,0.0,-14.999999999998348
13/10/2020,6L X20,0.0,0.0,1.0,0.17845,0.1791,-2.0,169.99999999999793,-65.00000000000117,0.13,1.62,103.24999999999676
14/10/2020,6L X20,0.0,0.0,0.0,0.0,0.17865,-2.0,90.0000000000012,0.0,0.0,0.0,90.0000000000012
15/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1785,-2.0,30.000000000002245,0.0,0.0,0.0,30.000000000002245
16/10/2020,6L X20,0.0,0.0,0.0,0.0,0.17705,-2.0,289.9999999999958,0.0,0.0,0.0,289.9999999999958
19/10/2020,6L X20,0.0,0.0,1.0,0.1783,0.1785,-3.0,-289.9999999999958,-20.000000000000572,0.13,1.62,-311.74999999999636
20/10/2020,6L X20,0.0,0.0,1.0,0.17835,0.179,-4.0,-150.00000000000014,-64.9999999999984,0.13,1.62,-216.74999999999852
21/10/2020,6L X20,1.0,0.17845,0.0,0.0,0.1781,-3.0,359.99999999999363,-34.99999999999892,0.13,1.62,323.2499999999947
22/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1785,-3.0,-119.99999999999511,0.0,0.0,0.0,-119.99999999999511
23/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1777,-3.0,239.99999999999855,0.0,0.0,0.0,239.99999999999855
26/10/2020,6L X20,0.0,0.0,0.0,0.0,0.1777,-3.0,0.0,0.0,0.0,0.0,0.0
27/10/2020,6L X20,5.0,0.17393,2.0,0.17795,0.1761,0.0,479.9999999999971,1455.0000000000007,0.91,11.34,1922.7499999999977
