Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
28/10/2020,6L Z20,0.0,0.0,5.0,0.17371,0.1742,-5.0,0.0,-244.99999999999523,0.65,8.100000000000001,-253.74999999999523
29/10/2020,6L Z20,0.0,0.0,0.0,0.0,0.1735,-5.0,350.00000000000307,0.0,0.0,0.0,350.00000000000307
30/10/2020,6L Z20,0.0,0.0,2.0,0.173975,0.17375,-7.0,-125.00000000000011,45.0000000000006,0.26,3.24,-83.49999999999952
02/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1731,-7.0,454.99999999998875,0.0,0.0,0.0,454.99999999998875
03/11/2020,6L Z20,2.0,0.17365,0.0,0.0,0.17375,-5.0,-454.99999999998875,19.999999999997797,0.26,3.24,-438.49999999999096
04/11/2020,6L Z20,2.0,0.17655,0.0,0.0,0.17665,-3.0,-1450.0000000000068,19.999999999997797,0.26,3.24,-1433.500000000009
05/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1798,-3.0,-944.9999999999958,0.0,0.0,0.0,-944.9999999999958
06/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1846,-3.0,-1439.9999999999995,0.0,0.0,0.0,-1439.9999999999995
09/11/2020,6L Z20,3.0,0.18505,1.0,0.1879,0.1847,-1.0,-30.000000000005024,215.00000000000406,0.52,6.48,177.99999999999903
10/11/2020,6L Z20,0.0,0.0,1.0,0.18455,0.1857,-2.0,-100.00000000000009,-115.00000000000121,0.13,1.62,-216.7500000000013
11/11/2020,6L Z20,1.0,0.18505,0.0,0.0,0.18475,-1.0,190.00000000000128,-29.99999999999947,0.13,1.62,158.25000000000182
12/11/2020,6L Z20,0.0,0.0,1.0,0.18275,0.18325,-2.0,150.00000000000014,-50.00000000000004,0.13,1.62,98.2500000000001
13/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.18245,-2.0,159.99999999999903,0.0,0.0,0.0,159.99999999999903
16/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1839,-2.0,-290.00000000000136,0.0,0.0,0.0,-290.00000000000136
17/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1865,-2.0,-519.9999999999983,0.0,0.0,0.0,-519.9999999999983
18/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.18795,-2.0,-290.00000000000136,0.0,0.0,0.0,-290.00000000000136
19/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1881,-2.0,-29.999999999996696,0.0,0.0,0.0,-29.999999999996696
20/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.18565,-2.0,489.999999999996,0.0,0.0,0.0,489.999999999996
23/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1836,-2.0,409.99999999999926,0.0,0.0,0.0,409.99999999999926
24/11/2020,6L Z20,0.0,0.0,1.0,0.18600000000000005,0.1858,-3.0,-439.99999999999596,20.000000000006125,0.13,1.62,-421.7499999999898
25/11/2020,6L Z20,0.0,0.0,0.0,0.0,0.1878,-3.0,-600.0000000000006,0.0,0.0,0.0,-600.0000000000006
26/11/2020,6L Z20,3.0,0.1878,0.0,0.0,0.1878,0.0,0.0,0.0,0.39,4.86,-5.25
