Date,Receipt Value,Comm,Reg Fee,Exc Fee,FX Description,FX Value,FX Rate,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
01/07/2020,0.0,0.0,0.0,0.0,FX - Buy BRL,106068.0,5.3034,0.0,106068.0,106068.0,106068.0,106068.0
06/07/2020,-717.22,0.0,0.0,0.0,-,0.0,0.0,-717.22,106068.0,106068.0,-717.22,105350.78
07/07/2020,-2401.117437,0.0,0.0,0.0,-,0.0,0.0,-3118.337437,106068.0,105350.78,-2401.117437,102949.662563
08/07/2020,4224.094693,0.0,0.0,0.0,Custody Fee - Banco B3,-3389.9,0.0,1105.7572559999999,102678.1,99559.762563,834.1946929999999,103783.857256
09/07/2020,1464.71,0.0,0.0,0.0,FX - Buy BRL,267395.0,5.3479,2570.467256,370073.1,371178.85725600005,268859.71,372643.567256
10/07/2020,-18003.17,0.0,0.0,0.0,-,0.0,0.0,-15432.702743999998,370073.1,372643.56725600007,-18003.17,354640.397256
13/07/2020,-39465.73,0.0,0.0,0.0,-,0.0,0.0,-54898.432744000005,370073.1,354640.3972560001,-39465.73,315174.66725600004
14/07/2020,-494.53,0.0,0.0,0.0,-,0.0,0.0,-55392.962744000004,370073.1,315174.6672560001,-494.53,314680.137256
15/07/2020,-2105.4,0.0,0.0,0.0,-,0.0,0.0,-57498.362744000005,370073.1,314680.1372560001,-2105.4,312574.737256
16/07/2020,5004.24,0.0,0.0,0.0,-,0.0,0.0,-52494.12274400001,370073.1,312574.73725600005,5004.24,317578.977256
17/07/2020,21936.27,0.0,0.0,0.0,-,0.0,0.0,-30557.852744000007,370073.1,317578.97725600004,21936.27,339515.247256
20/07/2020,2769.45,0.0,0.0,0.0,-,0.0,0.0,-27788.402744000006,370073.1,339515.24725600006,2769.45,342284.697256
21/07/2020,-17438.77,0.0,0.0,0.0,-,0.0,0.0,-45227.17274400001,370073.1,342284.6972560001,-17438.77,324845.927256
22/07/2020,-29165.19,0.0,0.0,0.0,-,0.0,0.0,-74392.36274400001,370073.1,324845.92725600005,-29165.19,295680.737256
23/07/2020,64846.95,0.0,0.0,0.0,-,0.0,0.0,-9545.412744000016,370073.1,295680.73725600005,64846.95,360527.687256
24/07/2020,11842.29,0.0,0.0,0.0,-,0.0,0.0,2296.877255999985,370073.1,360527.68725600006,11842.29,372369.977256
27/07/2020,-27176.34,0.0,0.0,0.0,-,0.0,0.0,-24879.462744000015,370073.1,372369.97725600004,-27176.34,345193.63725599996
28/07/2020,30259.57,0.0,0.0,0.0,-,0.0,0.0,5380.107255999985,370073.1,345193.637256,30259.57,375453.20725599997
29/07/2020,-61087.7,0.0,0.0,0.0,-,0.0,0.0,-55707.59274400001,370073.1,375453.207256,-61087.7,314365.50725599995
30/07/2020,-48199.79,0.0,0.0,0.0,-,0.0,0.0,-103907.382744,370073.1,314365.507256,-48199.79,266165.717256
31/07/2020,3624.65,0.0,0.0,0.0,-,0.0,0.0,-100282.73274400001,370073.1,266165.71725600003,3624.65,269790.367256
03/08/2020,46735.89,0.0,0.0,0.0,-,0.0,0.0,-53546.84274400001,370073.1,269790.36725600006,46735.89,316526.257256
04/08/2020,39687.74,0.0,0.0,0.0,-,0.0,0.0,-13859.10274400001,370073.1,316526.25725600007,39687.74,356213.997256
05/08/2020,42657.32,0.0,0.0,0.0,-,0.0,0.0,28798.21725599999,370073.1,356213.99725600006,42657.32,398871.317256
06/08/2020,26323.21,0.0,0.0,0.0,-,0.0,0.0,55121.42725599999,370073.1,398871.31725600007,26323.21,425194.52725600003
07/08/2020,-3239.41,0.0,0.0,0.0,-,0.0,0.0,51882.01725599999,370073.1,425194.5272560001,-3239.41,421955.11725600006
10/08/2020,20069.68,0.0,0.0,0.0,Custody Fee - Banco B3,-10406.6,0.0,71951.69725599998,359666.5,411548.5172560001,9663.08,431618.1972560001
11/08/2020,-16164.43,0.0,0.0,0.0,-,0.0,0.0,55787.267255999985,359666.5,431618.1972560001,-16164.43,415453.7672560001
12/08/2020,-21455.34,0.0,0.0,0.0,-,0.0,0.0,34331.92725599998,359666.5,415453.7672560001,-21455.34,393998.42725600005
13/08/2020,3247.38,0.0,0.0,0.0,-,0.0,0.0,37579.30725599998,359666.5,393998.42725600005,3247.38,397245.80725600006
14/08/2020,27175.85,0.0,0.0,0.0,-,0.0,0.0,64755.15725599998,359666.5,397245.80725600006,27175.85,424421.65725600003
17/08/2020,4221.81,0.0,0.0,0.0,-,0.0,0.0,68976.96725599997,359666.5,424421.65725600003,4221.81,428643.46725600003
18/08/2020,-1207.49,0.0,0.0,0.0,-,0.0,0.0,67769.47725599997,359666.5,428643.46725600003,-1207.49,427435.97725600004
19/08/2020,-8801.75,0.0,0.0,0.0,-,0.0,0.0,58967.72725599997,359666.5,427435.97725600004,-8801.75,418634.22725600004
20/08/2020,-5775.14,0.0,0.0,0.0,-,0.0,0.0,53192.58725599997,359666.5,418634.22725600004,-5775.14,412859.087256
21/08/2020,2533.3,0.0,0.0,0.0,-,0.0,0.0,55725.88725599997,359666.5,412859.087256,2533.3,415392.387256
24/08/2020,-106305.73,0.0,0.0,0.0,-,0.0,0.0,-50579.84274400002,359666.5,415392.387256,-106305.73,309086.65725600003
25/08/2020,22399.16,0.0,0.0,0.0,FX - Buy BRL,156265.2,5.5809,-28180.682744000023,515931.7,465351.85725600005,178664.36000000002,487751.0172560001
