Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L,Gross P&L Trades,Gross P&L Rolagem
11/01/2021,DOLG21,70.0,5495.53571428571,70.0,5489.46428571429,5482.526999999999,5.4921,5.1967,0.0,0.0,-21249.999999970896,70.0,1.05,,763.9149,-22083.914899970896,-21249.999999970896,0
18/01/2021,DOLG21,25.0,5267.3,15.0,5271.8333333333285,5292.8859999999995,5.2810000000000015,5.1967,10.0,-0.0,16192.99999999589,20.0,1.05,,218.26139999999998,15954.738599995891,16192.99999999589,0
19/01/2021,DOLG21,0.0,0.0,0.0,0.0,5349.451,5.3533,5.1967,10.0,28282.500000000255,0.0,0.0,1.05,,0.0,28282.500000000255,0.0,0
20/01/2021,DOLG21,0.0,0.0,0.0,0.0,5318.778,5.3166,5.1967,10.0,-15336.499999999887,0.0,0.0,1.05,,0.0,-15336.499999999887,0.0,0
21/01/2021,DOLG21,0.0,0.0,0.0,0.0,5366.915,5.3725,5.1967,10.0,24068.499999999858,0.0,0.0,1.05,,0.0,24068.499999999858,0.0,0
22/01/2021,DOLG21,0.0,0.0,0.0,0.0,5466.584,5.465,5.1967,10.0,49834.499999999935,0.0,0.0,1.05,,0.0,49834.499999999935,0.0,0
26/01/2021,DOLG21,0.0,0.0,0.0,0.0,5347.228,5.3514,5.1967,10.0,-59677.99999999988,0.0,0.0,1.05,,0.0,-59677.99999999988,0.0,0
27/01/2021,DOLG21,0.0,0.0,0.0,0.0,5390.0869999999995,5.377999999999999,5.1967,10.0,21429.499999999734,0.0,0.0,1.05,,0.0,21429.499999999734,0.0,0
28/01/2021,DOLG21,0.0,0.0,0.0,0.0,5436.305,5.4287,5.1967,10.0,23109.00000000038,0.0,0.0,1.05,,0.0,23109.00000000038,0.0,0
29/01/2021,DOLG21,0.0,0.0,0.0,0.0,5475.9,5.4759,5.1967,10.0,19797.499999999673,0.0,0.0,1.05,,0.0,19797.499999999673,0.0,0
01/02/2021,DOLG21,0.0,0.0,10.0,5475.9,5475.9,5.4635,5.4759,0.0,-0.0,0.0,5.0,1.05,0.0,57.496950000000005,-62.496950000000005,0.0,0
