Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
15/12/2020,ES H21,4.0,3687.5,0.0,0.0,3687.0,4.0,0.0,-100.0,8.4,2.1,5.0,-113.4
16/12/2020,ES H21,11.0,3691.75,0.0,0.0,3693.7,15.0,1339.9999999999636,1072.4999999999,23.1,2.1,13.75,2375.6499999998637
17/12/2020,ES H21,0.0,0.0,0.0,0.0,3712.8,15.0,14325.000000000273,0.0,0.0,2.1,0.0,14325.000000000273
18/12/2020,ES H21,0.0,0.0,0.0,0.0,3706.2,15.0,-4950.000000000273,0.0,0.0,2.1,0.0,-4950.000000000273
21/12/2020,ES H21,0.0,0.0,13.0,3671.134615,3685.8,2.0,-15299.999999999727,-9532.500250000157,27.3,2.1,16.25,-24876.050249999884
22/12/2020,ES H21,0.0,0.0,15.0,3677.75,3677.3,-13.0,-850.0,337.4999999998636,31.5,2.1,18.75,-562.7500000001364
23/12/2020,ES H21,13.0,3684.75,9.0,3683.666667,3681.5,-9.0,-2729.9999999998818,-1137.4998500000174,46.2,2.1,27.5,-3941.199849999899
28/12/2020,ES H21,11.0,3725.181818,14.0,3729.0,3727.5,-12.0,-20700.0,2325.0000999999884,52.5,2.1,31.25,-18458.74990000001
29/12/2020,ES H21,23.0,3725.293478,0.0,0.0,3719.9,11.0,4559.999999999945,-6202.499699999953,5.75,0.25,28.75,-1676.9997000000076
30/12/2020,ES H21,3.0,3727.083333,5.0,3732.3,3724.2,9.0,2364.99999999985,1592.5000500000579,2.0,0.25,10.0,3945.500049999908
31/12/2020,ES H21,0.0,0.0,0.0,0.0,3748.8,9.0,11070.000000000164,0.0,0.0,0.25,0.0,11070.000000000164
04/01/2021,ES H21,0.0,0.0,23.0,3719.630435,3692.2,-14.0,-25470.000000000164,31545.00025000025,5.75,0.25,28.75,6040.500250000085
05/01/2021,ES H21,8.0,3690.1875,7.0,3716.0,3718.2,-13.0,-18200.0,10434.99999999999,3.75,0.25,18.75,-7787.500000000009
