Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Exc Fee,Net P&L
18/03/2021,ES M21,1.0,3910.0,0.0,0.0,3906.0,1.0,0.0,-200.0,0.85,1.25,-202.1
19/03/2021,ES M21,13.0,3897.1730769,0.0,0.0,3899.8,14.0,-309.9999999999909,1707.5000150000733,11.049999999999999,16.25,1370.2000150000824
22/03/2021,ES M21,0.0,0.0,14.0,3926.25,3930.0,0.0,21139.999999999873,-2625.0,11.9,17.5,18485.59999999987
23/03/2021,ES M21,0.0,0.0,0.0,0.0,3899.75,0.0,-0.0,0.0,0.0,0.0,0.0
24/03/2021,ES M21,0.0,0.0,9.0,3882.5,3880.8,-9.0,-0.0,764.9999999999181,7.6499999999999995,11.25,746.0999999999182
25/03/2021,ES M21,11.0,3874.9772700000003,0.0,0.0,3900.5,2.0,-8864.999999999918,14037.501499999826,9.35,13.75,5149.401499999907
26/03/2021,ES M21,0.0,0.0,2.0,3915.0,3964.75,0.0,6425.0,-4975.0,1.7,2.5,1445.8
29/03/2021,ES M21,3.0,3963.0,0.0,0.0,3958.9,3.0,-0.0,-614.9999999999864,2.55,3.75,-621.2999999999863
30/03/2021,ES M21,2.0,3949.25,3.0,3948.75,3947.7,2.0,-1680.000000000041,2.500000000009095,4.25,6.25,-1688.0000000000318
31/03/2021,ES M21,10.0,3966.0,2.0,3956.25,3967.4,10.0,1970.0000000000273,-414.9999999999636,10.2,15.0,1529.8000000000636
01/04/2021,ES M21,0.0,0.0,10.0,3990.0,4009.9,0.0,21250.0,-9950.000000000045,8.5,12.5,11278.999999999955
05/04/2021,ES M21,28.0,4068.6428571607134,28.0,4055.142857142857,4067.75,0.0,0.0,-18900.00002499919,47.6,70.0,-19017.60002499919
06/04/2021,ES M21,15.0,4073.833333333334,3.0,4066.5,4064.0,12.0,-0.0,-7000.000000000455,15.299999999999999,22.5,-7037.800000000455
07/04/2021,ES M21,0.0,0.0,0.0,0.0,4070.0,12.0,3600.0,0.0,0.0,0.0,3600.0
08/04/2021,ES M21,0.0,0.0,0.0,0.0,4089.0,12.0,11400.0,0.0,0.0,0.0,11400.0
09/04/2021,ES M21,0.0,0.0,12.0,4113.375,4119.5,0.0,18300.0,-3675.0,10.2,15.0,14599.8
12/04/2021,ES M21,0.0,0.0,5.0,4122.25,4120.25,-5.0,0.0,500.0,4.25,6.25,489.5
13/04/2021,ES M21,8.0,4126.9375,0.0,0.0,4132.75,3.0,-3125.0,2325.0,6.8,10.0,-816.8
14/04/2021,ES M21,0.0,0.0,13.0,4123.057692307692,4118.0,-10.0,-2212.5,3287.5000000000455,11.049999999999999,16.25,1047.7000000000455
15/04/2021,ES M21,20.0,4162.975,0.0,0.0,4162.5,10.0,-22250.0,-475.0000000003638,17.0,25.0,-22767.000000000364
16/04/2021,ES M21,0.0,0.0,0.0,0.0,4176.25,10.0,6875.0,0.0,0.0,0.0,6875.0
19/04/2021,ES M21,0.0,0.0,0.0,0.0,4155.5,10.0,-10375.0,0.0,0.0,0.0,-10375.0
20/04/2021,ES M21,0.0,0.0,3.0,4120.0,4126.5,7.0,-14500.0,-975.0,2.55,3.75,-15481.3
21/04/2021,ES M21,0.0,0.0,0.0,0.0,4164.75,7.0,13387.5,0.0,0.0,0.0,13387.5
22/04/2021,ES M21,5.0,4130.0,10.0,4130.0,4127.75,2.0,-12950.0,562.5,12.75,18.75,-12419.0
23/04/2021,ES M21,9.0,4166.0,0.0,0.0,4171.5,11.0,4375.0,2475.0,7.6499999999999995,11.25,6831.1
26/04/2021,ES M21,0.0,0.0,11.0,4173.25,4179.5,0.0,4400.0,-3437.5,9.35,13.75,939.4
27/04/2021,ES M21,15.0,4180.0,8.0,4176.5,4179.0,7.0,-0.0,-1750.0,19.55,28.75,-1798.3
28/04/2021,ES M21,12.0,4184.75,7.0,4184.5,4176.25,12.0,-962.5,-2212.5,16.15,23.75,-3214.9
29/04/2021,ES M21,0.0,0.0,0.0,0.0,4203.5,12.0,16350.0,0.0,0.0,0.0,16350.0
30/04/2021,ES M21,9.0,4180.25,8.0,4181.1875,4174.5,13.0,-17400.0,87.5,14.45,21.25,-17348.2
03/05/2021,ES M21,0.0,0.0,13.0,4183.211538461538,4185.75,0.0,7312.5,-1650.0000000002274,11.049999999999999,16.25,5635.199999999772
05/05/2021,ES M21,10.0,4158.0,0.0,0.0,4160.0,10.0,-0.0,1000.0,8.5,12.5,979.0
06/05/2021,ES M21,13.0,4196.5,10.0,4164.25,4194.25,13.0,17125.0,-16462.5,19.55,28.75,614.2
07/05/2021,ES M21,0.0,0.0,0.0,0.0,4225.25,13.0,20150.0,0.0,0.0,0.0,20150.0
10/05/2021,ES M21,1.0,4175.75,10.0,4198.5,4183.5,4.0,-27137.5,7887.5,9.35,13.75,-19273.1
11/05/2021,ES M21,2.0,4140.5,0.0,0.0,4146.25,6.0,-7450.0,575.0,1.7,2.5,-6879.2
