Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
09/07/2020,ES U20,7.0,3141.10714,6.0,3138.25,3142.0,1.0,0.0,-812.4990000000253,27.3,2.1,16.25,-856.0490000000252
10/07/2020,ES U20,1.0,3178.0,1.0,3170.5,3178.5,1.0,1825.0,-375.0,4.2,2.1,2.5,1443.3
13/07/2020,ES U20,2.0,3167.125,4.0,3187.9375,3148.25,-1.0,-1512.5,6050.0,12.600000000000001,2.1,7.5,4517.4
14/07/2020,ES U20,5.0,3161.45,4.0,3162.5625,3183.5,0.0,-1762.5,1325.0000000000455,18.900000000000002,2.1,11.25,-467.6499999999545
15/07/2020,ES U20,6.0,3216.41667,6.0,3214.5,3220.0,0.0,0.0,-575.0010000000202,25.200000000000003,2.1,15.0,-615.2010000000203
16/07/2020,ES U20,1.0,3196.0,5.0,3196.15,3196.0,-4.0,-0.0,37.50000000002274,12.600000000000001,2.1,7.5,17.400000000022736
17/07/2020,ES U20,5.0,3212.05,1.0,3218.25,3214.0,0.0,-3600.0,699.9999999999545,12.600000000000001,2.1,7.5,-2920.1000000000454
20/07/2020,ES U20,7.0,3238.035716,1.0,3226.5,3245.25,6.0,0.0,1587.499400000047,16.8,2.1,10.0,1560.699400000047
21/07/2020,ES U20,4.0,3250.75,2.0,3252.625,3253.5,8.0,2475.0,462.5,12.600000000000001,2.1,7.5,2917.4
22/07/2020,ES U20,0.0,0.0,2.0,3246.5,3272.5,6.0,7600.0,-2600.0,4.2,2.1,2.5,4993.3
23/07/2020,ES U20,0.0,0.0,6.0,3232.08333,3229.0,0.0,-13050.0,924.9989999999798,12.600000000000001,2.1,7.5,-12145.10100000002
24/07/2020,ES U20,6.0,3204.54167,0.0,0.0,3204.0,6.0,-0.0,-162.5010000000202,12.600000000000001,2.1,7.5,-182.6010000000202
27/07/2020,ES U20,6.0,3234.25,0.0,0.0,3232.25,12.0,8475.0,-600.0,12.600000000000001,2.1,7.5,7854.9
28/07/2020,ES U20,0.0,0.0,5.0,3230.15,3213.0,7.0,-11550.0,4287.500000000023,10.5,2.1,6.25,-7279.249999999977
29/07/2020,ES U20,1.0,3256.25,1.0,3226.5,3252.5,7.0,13825.0,-1487.5,4.2,2.1,2.5,12330.8
30/07/2020,ES U20,1.0,3257.5,8.0,3250.0,3274.0,0.0,7525.0,-8775.0,18.900000000000002,2.1,11.25,-1280.15
31/07/2020,ES U20,0.0,0.0,23.0,3260.108696,3270.0,-23.0,-0.0,-11374.99960000025,48.300000000000004,2.1,28.75,-11452.04960000025
03/08/2020,ES U20,0.0,0.0,0.0,0.0,3290.0,-23.0,-23000.0,0.0,0.0,2.1,0.0,-23000.0
04/08/2020,ES U20,1.0,3299.5,0.0,0.0,3300.75,-22.0,-12362.5,62.5,2.1,2.1,1.25,-12303.35
05/08/2020,ES U20,6.0,3318.0,0.0,0.0,3318.0,-16.0,-18975.0,0.0,12.600000000000001,2.1,7.5,-18995.1
06/08/2020,ES U20,0.0,0.0,0.0,0.0,3344.25,-16.0,-21000.0,0.0,0.0,2.1,0.0,-21000.0
07/08/2020,ES U20,0.0,0.0,0.0,0.0,3345.0,-16.0,-600.0,0.0,0.0,2.1,0.0,-600.0
10/08/2020,ES U20,0.0,0.0,0.0,0.0,3355.0,-16.0,-8000.0,0.0,0.0,2.1,0.0,-8000.0
11/08/2020,ES U20,0.0,0.0,0.0,0.0,3338.0,-16.0,13600.0,0.0,0.0,2.1,0.0,13600.0
12/08/2020,ES U20,15.0,3356.05,3.0,3369.25,3370.0,-4.0,-25600.0,10349.999999999864,37.800000000000004,2.1,22.5,-15310.300000000136
13/08/2020,ES U20,11.0,3369.70455,6.0,3372.75,3374.0,1.0,-800.0,1987.4975000000404,35.7,2.1,21.25,1130.5475000000404
14/08/2020,ES U20,12.0,3364.8333,25.0,3366.3,3363.25,-12.0,-537.5,2862.520000000359,77.7,2.1,46.25,2201.070000000359
17/08/2020,ES U20,4.0,3379.5,0.0,0.0,3381.5,-8.0,-10950.0,400.0,8.4,2.1,5.0,-10563.4
18/08/2020,ES U20,0.0,0.0,0.0,0.0,3390.0,-8.0,-3400.0,0.0,0.0,2.1,0.0,-3400.0
19/08/2020,ES U20,12.0,3369.5,5.0,3391.75,3372.75,-1.0,6900.0,6700.0,35.7,2.1,21.25,13543.05
20/08/2020,ES U20,4.0,3383.25,12.0,3374.5,3380.75,-9.0,-400.0,-4250.0,33.6,2.1,20.0,-4703.6
21/08/2020,ES U20,16.0,3392.5,4.0,3386.25,3392.5,3.0,-5287.5,-1250.0,42.0,2.1,25.0,-6604.5
24/08/2020,ES U20,17.0,3426.97059,16.0,3423.09375,3429.75,4.0,5587.5,-2962.5014999999166,69.3,2.1,41.25,2514.448500000083
25/08/2020,ES U20,6.0,3444.25,17.0,3425.63235,3447.75,-7.0,3600.0,-17750.00250000012,48.300000000000004,2.1,28.75,-14227.052500000118
26/08/2020,ES U20,15.0,3480.25,6.0,3444.0,3485.0,2.0,-13037.5,-8737.5,44.1,2.1,26.25,-21845.35
27/08/2020,ES U20,10.0,3487.75,20.0,3489.625,3491.5,-8.0,650.0,0.0,63.0,2.1,37.5,549.5
28/08/2020,ES U20,11.0,3506.40909,5.0,3488.5,3510.0,-2.0,-7400.0,-3399.999500000058,33.6,2.1,20.0,-10853.599500000058
31/08/2020,ES U20,25.0,3493.43,26.0,3502.46154,3495.0,-3.0,1500.0,11662.501999999928,107.10000000000001,2.1,63.75,12991.651999999927
01/09/2020,ES U20,20.0,3529.25,15.0,3521.03333,3532.0,2.0,-5550.0,-5475.002499999846,73.5,2.1,43.75,-11142.252499999846
02/09/2020,ES U20,15.0,3577.25,20.0,3546.75,3579.25,-3.0,4725.0,-31000.0,73.5,2.1,43.75,-26392.25
03/09/2020,ES U20,17.0,3460.64706,13.0,3524.942310000001,3463.5,1.0,17362.5,42362.500500000715,63.0,2.1,37.5,59624.500500000715
04/09/2020,ES U20,16.0,3415.34375,18.0,3382.319444,3417.5,-1.0,-2300.0,-29937.500399999815,71.4,2.1,42.5,-32351.400399999817
08/09/2020,ES U20,5.0,3335.0,26.0,3355.13462,3335.0,-22.0,4125.0,26175.005999999757,65.10000000000001,2.1,38.75,30196.15599999976
09/09/2020,ES U20,28.0,3394.79464,0.0,0.0,3400.0,6.0,-71500.0,7287.503999999899,58.800000000000004,2.1,35.0,-64306.296000000104
10/09/2020,ES U20,0.0,0.0,27.0,3375.73148,3340.5,-21.0,-17850.0,47562.49799999989,56.7,2.1,33.75,29622.04799999989
11/09/2020,ES U20,13.0,3341.42308,0.0,0.0,3333.75,-8.0,7087.5,-4987.502000000018,27.3,2.1,16.25,2056.447999999982
14/09/2020,ES U20,66.0,3386.901515,58.0,3386.185345000001,3381.0,0.0,-18900.0,-4437.498999997797,186.0,1.5,155.0,-23678.4989999978
15/09/2020,ES U20,47.0,3406.382979,47.0,3411.4361700000004,3405.25,0.0,0.0,11874.998850000997,141.0,1.5,117.5,11616.498850000997
16/09/2020,ES U20,92.0,3406.3777170000008,92.0,3406.5842390000007,3392.75,0.0,-0.0,950.0011999997696,276.0,1.5,230.0,444.0011999997696
17/09/2020,ES U20,82.0,3348.164634,93.0,3345.086022,3361.5,-11.0,-0.0,-21649.99710000104,262.5,1.5,218.75,-22131.24710000104
18/09/2020,ES U20,11.0,3353.6,0.0,0.0,3353.6,0.0,4345.00000000005,0.0,16.5,1.5,13.75,4314.75000000005
