Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
30/07/2020,ES Z20,8.0,3239.65,0.0,0.0,3264.0,8.0,0.0,9739.999999999964,16.8,2.1,10.0,9713.199999999964
31/07/2020,ES Z20,5.0,3238.4,0.0,0.0,3260.0,13.0,-1600.0,5399.999999999977,10.5,2.1,6.25,3783.2499999999773
03/08/2020,ES Z20,0.0,0.0,0.0,0.0,3280.0,13.0,13000.0,0.0,0.0,2.1,0.0,13000.0
04/08/2020,ES Z20,0.0,0.0,0.0,0.0,3290.75,13.0,6987.5,0.0,0.0,2.1,0.0,6987.5
05/08/2020,ES Z20,0.0,0.0,0.0,0.0,3308.0,13.0,11212.5,0.0,0.0,2.1,0.0,11212.5
06/08/2020,ES Z20,0.0,0.0,0.0,0.0,3334.25,13.0,17062.5,0.0,0.0,2.1,0.0,17062.5
07/08/2020,ES Z20,0.0,0.0,0.0,0.0,3335.0,13.0,487.5,0.0,0.0,2.1,0.0,487.5
10/08/2020,ES Z20,0.0,0.0,0.0,0.0,3345.0,13.0,6500.0,0.0,0.0,2.1,0.0,6500.0
11/08/2020,ES Z20,5.0,3326.25,0.0,0.0,3328.0,18.0,-11050.0,437.5,10.5,2.1,6.25,-10629.25
12/08/2020,ES Z20,0.0,0.0,5.0,3319.65,3360.0,13.0,28800.0,-10087.499999999978,10.5,2.1,6.25,18695.750000000022
13/08/2020,ES Z20,0.0,0.0,0.0,0.0,3364.0,13.0,2600.0,0.0,0.0,2.1,0.0,2600.0
14/08/2020,ES Z20,0.0,0.0,0.0,0.0,3353.25,13.0,-6987.5,0.0,0.0,2.1,0.0,-6987.5
17/08/2020,ES Z20,0.0,0.0,0.0,0.0,3371.5,13.0,11862.5,0.0,0.0,2.1,0.0,11862.5
18/08/2020,ES Z20,0.0,0.0,0.0,0.0,3380.0,13.0,5525.0,0.0,0.0,2.1,0.0,5525.0
19/08/2020,ES Z20,0.0,0.0,0.0,0.0,3362.75,13.0,-11212.5,0.0,0.0,2.1,0.0,-11212.5
20/08/2020,ES Z20,0.0,0.0,0.0,0.0,3370.75,13.0,5200.0,0.0,0.0,2.1,0.0,5200.0
21/08/2020,ES Z20,0.0,0.0,0.0,0.0,3382.5,13.0,7637.5,0.0,0.0,2.1,0.0,7637.5
24/08/2020,ES Z20,0.0,0.0,0.0,0.0,3419.75,13.0,24212.5,0.0,0.0,2.1,0.0,24212.5
25/08/2020,ES Z20,0.0,0.0,0.0,0.0,3437.75,13.0,11700.0,0.0,0.0,2.1,0.0,11700.0
26/08/2020,ES Z20,0.0,0.0,0.0,0.0,3475.0,13.0,24212.5,0.0,0.0,2.1,0.0,24212.5
27/08/2020,ES Z20,0.0,0.0,0.0,0.0,3481.5,13.0,4225.0,0.0,0.0,2.1,0.0,4225.0
28/08/2020,ES Z20,0.0,0.0,0.0,0.0,3500.0,13.0,12025.0,0.0,0.0,2.1,0.0,12025.0
31/08/2020,ES Z20,0.0,0.0,0.0,0.0,3485.0,13.0,-9750.0,0.0,0.0,2.1,0.0,-9750.0
01/09/2020,ES Z20,0.0,0.0,0.0,0.0,3522.0,13.0,24050.0,0.0,0.0,2.1,0.0,24050.0
02/09/2020,ES Z20,0.0,0.0,0.0,0.0,3569.25,13.0,30712.5,0.0,0.0,2.1,0.0,30712.5
03/09/2020,ES Z20,0.0,0.0,0.0,0.0,3453.5,13.0,-75237.5,0.0,0.0,2.1,0.0,-75237.5
04/09/2020,ES Z20,0.0,0.0,0.0,0.0,3407.5,13.0,-29900.0,0.0,0.0,2.1,0.0,-29900.0
