Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
28/12/2020,ISPM21,0.0,0.0,2.0,3732.0,3732.0,0.0,0.0,0.0,0.0,0.0,2.0,5.2745,5.3539,-2.0,0.0,0.0,0.0,0.0,2.0,2.84,17.285714285714285,30.410152,-32.410152
29/12/2020,ISPM21,10.0,3733.55,0.0,0.0,3717.5,0.0,0.0,0.0,0.0,10.0,0.0,5.19,5.3539,8.0,7525.500000000001,-41649.75000000047,0.0,-41649.75000000047,10.0,2.84,17.285714285714285,152.05076,-34286.30076000047
30/12/2020,ISPM21,3.0,3725.25,0.0,0.0,3719.0,0.0,0.0,0.0,0.0,3.0,0.0,5.1805,5.3539,11.0,3108.3,-4856.71875,0.0,-4856.71875,3.0,2.84,17.285714285714285,45.615228,-1797.033978
04/01/2021,ISPM21,0.0,0.0,0.0,0.0,3681.75,0.0,0.0,0.0,0.0,0.0,0.0,5.2407,5.1967,11.0,-107368.84125000001,0.0,0.0,0.0,0.0,2.84,21.095238095238095,0.0,-107368.84125000001
05/01/2021,ISPM21,0.0,0.0,0.0,0.0,3708.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2659,5.1967,11.0,76026.43125000001,0.0,0.0,0.0,0.0,2.84,21.095238095238095,0.0,76026.43125000001
06/01/2021,ISPM21,0.0,0.0,0.0,0.0,3730.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2641,5.1967,11.0,65143.2375,0.0,0.0,0.0,0.0,2.84,21.095238095238095,0.0,65143.2375
07/01/2021,ISPM21,0.0,0.0,0.0,0.0,3788.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3863,5.1967,11.0,170341.73750000002,0.0,0.0,0.0,0.0,2.84,21.095238095238095,0.0,170341.73750000002
08/01/2021,ISPM21,6.0,3807.3333333333294,0.0,0.0,3807.0,0.0,0.0,0.0,0.0,6.0,0.0,5.4317,5.1967,17.0,56761.265,-543.1699999935779,0.0,-543.1699999935779,6.0,2.84,21.095238095238095,88.551768,56123.54323200642
11/01/2021,ISPM21,0.0,0.0,0.0,0.0,3781.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4921,5.1967,17.0,-119041.2675,0.0,0.0,0.0,0.0,2.61,30.714285714285715,0.0,-119041.2675
12/01/2021,ISPM21,1.0,3789.0,0.0,0.0,3793.0,0.0,0.0,0.0,0.0,1.0,0.0,5.3565,5.1967,18.0,52359.7875,1071.3,0.0,1071.3,1.0,2.61,30.714285714285715,13.563386999999999,53416.524113
13/01/2021,ISPM21,2.0,3803.125,0.0,0.0,3800.75,0.0,0.0,0.0,0.0,2.0,0.0,5.3125,5.1967,20.0,37054.6875,-1261.71875,0.0,-1261.71875,2.0,2.61,30.714285714285715,27.126773999999997,35763.841976
