Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
07/04/2021,MES M21,5.0,4075.0,0.0,0.0,4070.0,5.0,0.0,-125.0,0.375,0.075,1.35,-126.725
08/04/2021,MES M21,0.0,0.0,0.0,0.0,4089.0,5.0,475.0,0.0,0.0,0.075,0.0,475.0
09/04/2021,MES M21,0.0,0.0,0.0,0.0,4119.5,5.0,762.5,0.0,0.0,0.075,0.0,762.5
12/04/2021,MES M21,0.0,0.0,5.0,4119.05,4120.25,0.0,18.75,-29.999999999995453,0.375,0.075,1.35,-12.974999999995452
16/04/2021,MES M21,9.0,4168.472222222223,0.0,0.0,4176.25,9.0,0.0,349.9999999999818,0.6749999999999999,0.075,2.43,346.8949999999818
19/04/2021,MES M21,0.0,0.0,0.0,0.0,4155.5,9.0,-933.75,0.0,0.0,0.075,0.0,-933.75
20/04/2021,MES M21,0.0,0.0,0.0,0.0,4126.5,9.0,-1305.0,0.0,0.0,0.075,0.0,-1305.0
21/04/2021,MES M21,0.0,0.0,0.0,0.0,4164.75,9.0,1721.25,0.0,0.0,0.075,0.0,1721.25
22/04/2021,MES M21,0.0,0.0,0.0,0.0,4127.75,9.0,-1665.0,0.0,0.0,0.075,0.0,-1665.0
23/04/2021,MES M21,0.0,0.0,0.0,0.0,4171.5,9.0,1968.75,0.0,0.0,0.075,0.0,1968.75
26/04/2021,MES M21,0.0,0.0,9.0,4173.25,4179.5,0.0,360.0,-281.25,0.6749999999999999,0.075,2.43,75.645
04/05/2021,MES M21,5.0,4158.05,0.0,0.0,4158.25,5.0,-0.0,4.9999999999954525,0.375,0.075,1.35,3.2749999999954524
05/05/2021,MES M21,0.0,0.0,0.0,0.0,4160.0,5.0,43.75,0.0,0.0,0.075,0.0,43.75
06/05/2021,MES M21,2.0,4196.25,5.0,4164.0,4194.25,2.0,856.25,-776.25,0.525,0.075,1.8900000000000001,77.585
07/05/2021,MES M21,0.0,0.0,0.0,0.0,4225.25,2.0,310.0,0.0,0.0,0.075,0.0,310.0
10/05/2021,MES M21,0.0,0.0,2.0,4198.5,4183.5,0.0,-417.5,150.0,0.15,0.075,0.54,-268.19
17/05/2021,MES M21,4.0,4160.75,0.0,0.0,4157.75,4.0,-0.0,-60.0,0.3,0.075,1.08,-61.379999999999995
18/05/2021,MES M21,0.0,0.0,0.0,0.0,4123.0,4.0,-695.0,0.0,0.0,0.075,0.0,-695.0
19/05/2021,MES M21,0.0,0.0,4.0,4066.5,4111.5,0.0,-230.0,-900.0,0.3,0.075,1.08,-1131.3799999999999
