Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
09/07/2020,MES U20,53.0,3142.62736,28.0,3129.30357,3142.0,25.0,0.0,-1943.7505999999826,38.07,0.47,17.82,-1999.6405999999824
10/07/2020,MES U20,28.0,3148.98214,53.0,3161.57547,3178.5,0.0,4562.5,-352.500049999951,38.07,0.47,17.82,4154.109950000049
13/07/2020,MES U20,20.0,3189.75,19.0,3200.55263,3148.25,1.0,-0.0,818.7498500000129,18.33,0.47,8.58,791.8398500000128
14/07/2020,MES U20,28.0,3156.20536,20.0,3147.675,3183.5,9.0,176.25,238.7496000000283,22.56,0.47,10.56,381.8796000000283
15/07/2020,MES U20,22.0,3221.875,29.0,3221.07759,3220.0,2.0,1642.5,-49.99945000001844,23.97,0.47,11.22,1557.3105499999815
16/07/2020,MES U20,3.0,3202.58333,6.0,3203.91667,3196.0,-1.0,-240.0,138.75015000000303,4.2299999999999995,0.47,1.98,-107.45984999999698
17/07/2020,MES U20,42.0,3210.7381,41.0,3217.219510000001,3214.0,0.0,-90.0,1344.9985500001594,39.01,0.47,18.26,1197.7285500001594
20/07/2020,MES U20,7.0,3243.0,0.0,0.0,3245.25,7.0,0.0,78.75,3.29,0.47,1.54,73.91999999999999
21/07/2020,MES U20,0.0,0.0,4.0,3260.25,3253.5,3.0,288.75,135.0,1.88,0.47,0.88,420.99
22/07/2020,MES U20,16.0,3253.87125,8.0,3246.5,3272.5,11.0,285.0,450.29999999998836,11.28,0.47,5.28,718.7399999999884
23/07/2020,MES U20,0.0,0.0,23.0,3228.92391,3229.0,-12.0,-2392.5,-8.750350000002527,10.809999999999999,0.47,5.06,-2417.1203500000024
24/07/2020,MES U20,15.0,3214.95,0.0,0.0,3204.0,3.0,1500.0,-821.2499999999864,7.05,0.47,3.3,668.4000000000137
27/07/2020,MES U20,5.0,3234.5,0.0,0.0,3232.25,8.0,423.75,-56.25,2.3499999999999996,0.47,1.1,364.04999999999995
28/07/2020,MES U20,0.0,0.0,8.0,3229.0,3213.0,0.0,-770.0,640.0,3.76,0.47,1.76,-135.51999999999998
29/07/2020,MES U20,5.0,3256.25,0.0,0.0,3252.5,5.0,0.0,-93.75,2.3499999999999996,0.47,1.1,-97.19999999999999
30/07/2020,MES U20,0.0,0.0,13.0,3248.5,3274.0,-8.0,537.5,-1657.5,6.109999999999999,0.47,2.86,-1128.9699999999998
31/07/2020,MES U20,0.0,0.0,0.0,0.0,3270.0,-8.0,160.0,0.0,0.0,0.47,0.0,160.0
03/08/2020,MES U20,0.0,0.0,0.0,0.0,3290.0,-8.0,-800.0,0.0,0.0,0.47,0.0,-800.0
04/08/2020,MES U20,8.0,3288.5,0.0,0.0,3300.75,0.0,-430.0,490.0,3.76,0.47,1.76,54.480000000000004
05/08/2020,MES U20,0.0,0.0,0.0,0.0,3318.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
06/08/2020,MES U20,2.0,3338.75,6.0,3344.5,3344.25,-4.0,0.0,62.5,3.76,0.47,1.76,56.980000000000004
07/08/2020,MES U20,0.0,0.0,4.0,3347.5,3345.0,-8.0,-15.0,50.0,1.88,0.47,0.88,32.239999999999995
10/08/2020,MES U20,3.0,3352.5,0.0,0.0,3355.0,-5.0,-400.0,37.5,1.41,0.47,0.66,-364.57000000000005
11/08/2020,MES U20,5.0,3336.0,0.0,0.0,3338.0,0.0,425.0,50.0,2.3499999999999996,0.47,1.1,471.54999999999995
12/08/2020,MES U20,0.0,0.0,0.0,0.0,3370.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0
13/08/2020,MES U20,6.0,3370.75,0.0,0.0,3374.0,6.0,0.0,97.5,2.82,0.47,1.32,93.36000000000001
14/08/2020,MES U20,0.0,0.0,6.0,3370.75,3363.25,0.0,-322.5,225.0,2.82,0.47,1.32,-101.63999999999999
17/08/2020,MES U20,0.0,0.0,0.0,0.0,3381.5,0.0,0.0,0.0,0.0,0.47,0.0,0.0
