Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Hold Pos,MtoM P&L,Gross P&L,Comm,Comm Test,Exc Fee,Net P&L
16/09/2020,MES Z20,70.0,3400.675,70.0,3401.942857,3382.75,0.0,0.0,443.7499499999376,41.3,0.295,30.8,371.6499499999376
17/09/2020,MES Z20,268.0,3341.885261,268.0,3337.541978,3351.5,0.0,-0.0,-5819.9992199995995,158.12,0.295,117.92,-6096.0392199995995
18/09/2020,MES Z20,286.0,3328.402098,284.0,3330.108275,3319.0,2.0,-0.0,2328.7503600000355,168.14999999999998,0.295,125.4,2035.2003600000353
21/09/2020,MES Z20,157.0,3250.593949,95.0,3251.702632,3273.75,64.0,-452.5,7705.000234999945,74.33999999999999,0.295,55.44,7122.720234999945
22/09/2020,MES Z20,206.0,3285.029126000001,137.0,3281.525547,3299.3,133.0,8176.000000000058,2523.499914999352,101.18499999999999,0.295,75.46,10522.854914999412
23/09/2020,MES Z20,200.0,3261.6,220.0,3250.742045,3231.0,113.0,-45419.50000000012,-8883.750499999951,123.89999999999999,0.295,92.4,-54519.55050000007
24/09/2020,MES Z20,237.0,3225.601266,242.0,3226.741736,3238.0,108.0,3955.0,1070.0003499997888,141.30499999999998,0.295,105.38,4778.315349999789
25/09/2020,MES Z20,103.0,3255.446602,81.0,3247.660494,3287.3,130.0,26622.0000000001,350.5000400001086,54.279999999999994,0.295,40.48,26877.740040000208
28/09/2020,MES Z20,76.0,3338.4605260000008,76.0,3338.101974,3346.0,130.0,38154.99999999988,-136.24976000022798,44.839999999999996,0.295,33.44,37940.47023999966
29/09/2020,MES Z20,193.0,3331.290155,117.0,3329.946581,3333.7,206.0,-7995.000000000118,129.75030999988348,91.44999999999999,0.295,68.2,-8024.899690000235
30/09/2020,MES Z20,44.0,3351.136364,55.0,3343.068182,3352.0,195.0,18849.00000000019,-2266.2500299999965,29.205,0.295,21.78,16531.764970000193
01/10/2020,MES Z20,230.0,3369.4021740000007,300.0,3374.031667,3367.7,125.0,15307.499999999822,7540.000399999508,156.35,0.295,116.6,22574.55039999933
