Date,Comm,Register Fee,Exc Fee,Receipt Value,FX Description,FX Value,FX Rate,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
23/12/2020,22.18,138.32,59.0,34444.0,-,0.0,-,34444.0,0.0,0.0,34444.0
28/12/2020,32.38,233.41,100.02,96233.87,-,0.0,-,130677.87,0.0,34444.0,130677.87
29/12/2020,56.16,676.07,289.96,-6262.41,FX - Sell BRL,-600000.0,5.21,124415.45999999999,-600000.0,-469322.13,-475584.54000000004
30/12/2020,29.22,323.63,141.02,-15347.37,-,0.0,-,109068.09,-600000.0,-475584.54,-490931.91000000003
04/01/2021,55.58,583.07,251.85,-107798.41,FX - Buy BRL,262840.0,5.2568,1269.679999999993,-337160.0,-228091.90999999997,-335890.32000000007
05/01/2021,107.36,1513.9,648.94,54029.69,-,0.0,-,55299.369999999995,-337160.0,-335890.31999999995,-281860.63000000006
06/01/2021,41.12,397.32,173.36,45641.48,-,0.0,-,100940.85,-337160.0,-281860.62999999995,-236219.15000000005
07/01/2021,39.24,412.71,184.59,-15648.46,-,0.0,-,85292.39000000001,-337160.0,-236219.14999999994,-251867.61000000004
08/01/2021,56.1,526.99,225.33,42317.52,-,0.0,-,127609.91,-337160.0,-251867.60999999993,-209550.09000000005
11/01/2021,73.57,894.08,448.61,-56691.36,-,0.0,-,70918.55,-337160.0,-209550.08999999994,-266241.45000000007
12/01/2021,23.15,283.6,121.53,2114.03,-,0.0,-,73032.58,-337160.0,-266241.44999999995,-264127.42000000004
13/01/2021,74.46,687.96,307.96,2677.02,-,0.0,-,75709.6,-337160.0,-264127.4199999999,-261450.40000000005
14/01/2021,41.38,325.28,149.08,-12401.28,-,0.0,-,63308.32000000001,-337160.0,-261450.39999999994,-273851.68000000005
15/01/2021,57.6,589.14,252.58,64582.73,FX - Buy BRL,105334.0,5.2667,127891.05000000002,-231826.0,-168517.67999999993,-103934.95000000004
18/01/2021,54.87,469.97,230.32,18764.06,-,0.0,-,146655.11000000002,-231826.0,-103934.94999999992,-85170.89000000004
19/01/2021,21.41,213.82,90.73,171574.39,-,0.0,-,318229.5,-231826.0,-85170.88999999993,86403.49999999997
20/01/2021,37.06,372.55,158.15,152695.14,-,0.0,-,470924.64,-231826.0,86403.50000000009,239098.63999999998
21/01/2021,18.72,208.39,88.55,-3239.6,-,0.0,-,467685.04000000004,-231826.0,239098.6400000001,235859.03999999998
22/01/2021,63.74,546.7,232.28,69808.76,FX - Sell BRL,-280000.0,5.4166,537493.8,-511826.0,-44140.959999999875,25667.79999999999
26/01/2021,23.7,188.63,81.05,-42293.29,-,0.0,-,495200.51000000007,-511826.0,25667.80000000012,-16625.490000000013
27/01/2021,183.7,1789.82,770.22,452653.44,-,0.0,-,947853.9500000001,-511826.0,-16625.48999999988,436027.95
28/01/2021,104.74,969.85,419.55,-139322.25,-,0.0,-,808531.7000000001,-511826.0,436027.9500000001,296705.7
29/01/2021,195.72,1909.15,883.85,184575.15,FX - Sell BRL,-400000.0,5.4451,993106.8500000001,-911826.0,-103294.29999999987,81280.85
01/02/2021,51.5,503.46,214.46,-125535.54,-,0.0,-,867571.31,-911826.0,81280.85000000012,-44254.68999999999
02/02/2021,88.98,806.11,343.04,-37908.3,-,0.0,-,829663.01,-911826.0,-44254.68999999987,-82162.98999999999
03/02/2021,36.7,283.34,120.6,-32665.31,-,0.0,-,796997.7,-911826.0,-82162.98999999987,-114828.29999999999
04/02/2021,22.58,260.64,110.94,5042.27,-,0.0,-,802039.97,-911826.0,-114828.29999999987,-109786.02999999998
05/02/2021,68.0,700.21,297.96,-166269.03,-,0.0,-,635770.94,-911826.0,-109786.02999999987,-276055.06
08/02/2021,45.4,485.01,208.92,43740.44,-,0.0,-,679511.3799999999,-911826.0,-276055.0599999999,-232314.62
09/02/2021,54.44,380.81,166.28,-17200.99,-,0.0,-,662310.3899999999,-911826.0,-232314.61999999988,-249515.61
10/02/2021,31.66,310.61,133.0,41186.34,Custody Fee - Banco B3,-10951.8,-,703496.7299999999,-922777.8,-260467.4099999999,-219281.06999999998
11/02/2021,64.2,378.16,166.68,-9878.46,-,0.0,-,693618.2699999999,-922777.8,-219281.0699999999,-229159.52999999997
12/02/2021,54.92,300.45,132.78,-13871.89,-,0.0,-,679746.3799999999,-922777.8,-229159.52999999988,-243031.41999999998
17/02/2021,62.22,411.12,176.8,97945.64,-,0.0,-,777692.0199999999,-922777.8,-243031.41999999987,-145085.77999999997
18/02/2021,38.64,426.4,181.32,62456.41,-,0.0,-,840148.4299999999,-922777.8,-145085.77999999985,-82629.36999999997
19/02/2021,25.43,167.44,71.32,-234555.59,-,0.0,-,605592.84,-922777.8,-82629.36999999985,-317184.95999999996
22/02/2021,25.04,264.16,112.28,310044.77,-,0.0,-,915637.61,-922777.8,-317184.95999999985,-7140.189999999944
