Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
06/04/2021,WDOK21,152.0,5620.52960526316,152.0,5622.506578947371,5607.16,5.5968,5.6973,0.0,0.0,3005.0000000005093,30.400000000000002,1.05,10.819047619047618,400.08719520000005,2574.512804800509
07/04/2021,WDOK21,188.0,5594.40957446809,188.0,5597.40425531915,5642.854,5.6267,5.6973,0.0,0.0,5629.999999993488,37.6,1.05,10.819047619047618,494.8446888000001,5097.555311193488
14/04/2021,WDOK21,155.0,5682.0645161290295,130.0,5680.115384615378,5697.491,5.6815,5.6973,25.0,0.0,1322.749999996222,28.5,1.05,,375.08174549999995,919.1682544962221
15/04/2021,WDOK21,140.0,5624.41071428571,146.0,5627.18835616438,5619.615,5.6134,5.6973,19.0,-19469.00000000005,4343.100000000504,28.6,1.05,,376.39782180000003,-15530.897821799546
16/04/2021,WDOK21,13.0,5635.84615384615,9.0,5641.277777777779,5586.239000000001,5.5846,5.6973,23.0,-6341.439999999693,-1495.4399999992802,2.2,1.05,,28.953678600000007,-7868.033678598973
19/04/2021,WDOK21,43.0,5613.31395348837,0.0,0.0,5559.851,5.5539,5.6973,66.0,-6069.2400000004,-22989.06999999938,4.3,1.05,17.257142857142856,56.5912809,-29119.20128089978
20/04/2021,WDOK21,0.0,0.0,0.0,0.0,5564.172,5.5565,5.6973,66.0,2851.8599999999424,0.0,0.0,1.05,17.257142857142856,0.0,2851.8599999999424
22/04/2021,WDOK21,0.0,0.0,0.0,0.0,5470.302,5.4661,5.6973,66.0,-61954.199999999924,0.0,0.0,1.05,17.257142857142856,0.0,-61954.199999999924
23/04/2021,WDOK21,90.0,5490.13888888889,90.0,5492.44444444444,5496.486999999999,5.4949,5.6973,66.0,17282.099999999664,2074.9999999951797,18.0,1.05,17.257142857142856,236.893734,19102.206265994842
26/04/2021,WDOK21,0.0,0.0,6.0,5454.1666666666715,5459.309,5.4618,5.6973,60.0,-24537.479999999323,-308.53999999972075,0.6000000000000001,1.05,15.733333333333333,7.896457800000001,-24854.516457799044
27/04/2021,WDOK21,0.0,0.0,18.0,5445.4166666666715,5462.8769999999995,5.452999999999999,5.6973,42.0,2140.799999999581,-3142.8599999990365,1.8,1.05,15.733333333333333,23.689373400000004,-1027.5493733994556
28/04/2021,WDOK21,0.0,0.0,0.0,0.0,5364.206,5.3716,5.6973,42.0,-41441.81999999973,0.0,0.0,1.05,15.733333333333333,0.0,-41441.81999999973
29/04/2021,WDOK21,0.0,0.0,212.0,5357.912735849061,5351.17,5.3546,5.6973,-170.0,-5475.120000000024,14294.600000009996,21.200000000000003,1.05,15.733333333333333,279.0081756000001,8519.27182440997
30/04/2021,WDOK21,6.0,5363.0,161.0,5356.7049689441,5403.6,5.4102,5.6973,-325.0,-89131.0000000005,-73064.99999999945,16.7,1.05,15.733333333333333,219.7847421,-162432.48474209994
